자치구명,법정동명,건물면적(㎡),물건금액(만원)
강남구,일원동,381.84,330000
강남구,수서동,129.45,218000
강남구,개포동,132.817,450000
강남구,압구정동,161.18,635000
강남구,자곡동,101.95,199000
강남구,대치동,119.58,400000
강남구,개포동,112.991,430000
강남구,삼성동,134.81,368000
강남구,압구정동,108.88,505000
강남구,논현동,106.829,196000
강남구,도곡동,122.81,330000
강남구,자곡동,101.18,170000
강남구,대치동,120.76,330000
강남구,대치동,126.33,389000
강남구,삼성동,207.82,458000
강남구,도곡동,119.89,357000
강남구,논현동,114.498,168000
강남구,개포동,96.93,323000
강남구,자곡동,101.51,180000
강남구,도곡동,141.648,352000
강남구,청담동,107.22,230000
강남구,대치동,151.31,525000
강남구,역삼동,669.45,455000
강남구,개포동,96.955,377000
강남구,대치동,110.39,300000
강남구,일원동,326.52,400000
강남구,압구정동,108.15,427000
강남구,대치동,128.01,400000
강남구,대치동,93.4,380000
강남구,청담동,89.115,366000
강남구,논현동,451.9,510000
강남구,청담동,114.97,230000
강남구,도곡동,244.66,790000
강남구,대치동,127.75,435000
강남구,대치동,128.03,330000
강남구,개포동,123.28,322000
강남구,도곡동,93.07,315000
강남구,신사동,120.35,220000
강남구,신사동,113.31,214000
강남구,역삼동,125.413,430000
강남구,도곡동,121.42,380000
강남구,압구정동,100.5,370000
강남구,대치동,126.33,385000
강남구,자곡동,101.95,213000
강남구,도곡동,187.148,420000
강남구,도곡동,119.89,355000
강남구,대치동,105.6,190000
강남구,일원동,134.71,299000
강남구,청담동,165.27,370000
강남구,압구정동,157.36,668000
강남구,삼성동,160.53,291827
강남구,역삼동,466.01,418000
강남구,압구정동,140.9,450000
강남구,도곡동,163.05,270000
강남구,역삼동,131.32,140000
강남구,압구정동,163.67,610000
강남구,역삼동,92.623,280000
강남구,도곡동,244.66,700000
강남구,도곡동,88.39,245000
강남구,대치동,136.68,450000
강남구,청담동,109.53,370000
강남구,압구정동,105.62,380000
강남구,역삼동,249.54,380000
강남구,논현동,113.087,280000
강남구,자곡동,101.51,175000
강남구,압구정동,105.65,375000
강남구,역삼동,120.37,320000
강남구,도곡동,152.74,335000
